index r g b
0 0 0 0
1 0 0 0
2 0 0 0
3 0 0 0
4 0 0 0
5 0 0 0
6 0 0 0
7 0 0 0
8 0 0 0
9 0 0 0
10 23 35 35
11 35 51 51
12 47 67 67
13 63 83 83
14 75 99 99
15 91 115 115
16 111 131 131
17 131 151 151
18 159 175 175
19 183 195 195
20 211 219 219
21 239 243 243
22 51 47 0
23 63 59 0
24 79 75 11
25 91 91 19
26 107 107 31
27 119 123 47
28 135 139 59
29 151 155 79
30 167 175 95
31 187 191 115
32 203 207 139
33 223 227 163
34 67 43 7
35 87 59 11
36 111 75 23
37 127 87 31
38 143 99 39
39 159 115 51
40 179 131 67
41 191 151 87
42 203 175 111
43 219 199 135
44 231 219 163
45 247 239 195
46 71 27 0
47 95 43 0
48 119 63 0
49 143 83 7
50 167 111 7
51 191 139 15
52 215 167 19
53 243 203 27
54 255 231 47
55 255 243 95
56 255 251 143
57 255 255 195
58 35 0 0
59 79 0 0
60 95 7 7
61 111 15 15
62 127 27 27
63 143 39 39
64 163 59 59
65 179 79 79
66 199 103 103
67 215 127 127
68 235 159 159
69 255 191 191
70 27 51 19
71 35 63 23
72 47 79 31
73 59 95 39
74 71 111 43
75 87 127 51
76 99 143 59
77 115 155 67
78 131 171 75
79 147 187 83
80 163 203 95
81 183 219 103
82 31 55 27
83 47 71 35
84 59 83 43
85 75 99 55
86 91 111 67
87 111 135 79
88 135 159 95
89 159 183 111
90 183 207 127
91 195 219 147
92 207 231 167
93 223 247 191
94 15 63 0
95 19 83 0
96 23 103 0
97 31 123 0
98 39 143 7
99 55 159 23
100 71 175 39
101 91 191 63
102 111 207 87
103 139 223 115
104 163 239 143
105 195 255 179
106 79 43 19
107 99 55 27
108 119 71 43
109 139 87 59
110 167 99 67
111 187 115 83
112 207 131 99
113 215 151 115
114 227 171 131
115 239 191 151
116 247 207 171
117 255 227 195
118 15 19 55
119 39 43 87
120 51 55 103
121 63 67 119
122 83 83 139
123 99 99 155
124 119 119 175
125 139 139 191
126 159 159 207
127 183 183 223
128 211 211 239
129 239 239 255
130 0 27 111
131 0 39 151
132 7 51 167
133 15 67 187
134 27 83 203
135 43 103 223
136 67 135 227
137 91 163 231
138 119 187 239
139 143 211 243
140 175 231 251
141 215 247 255
142 11 43 15
143 15 55 23
144 23 71 31
145 35 83 43
146 47 99 59
147 59 115 75
148 79 135 95
149 99 155 119
150 123 175 139
151 147 199 167
152 175 219 195
153 207 243 223
154 63 0 95
155 75 7 115
156 83 15 127
157 95 31 143
158 107 43 155
159 123 63 171
160 135 83 187
161 155 103 199
162 171 127 215
163 191 155 231
164 215 195 243
165 243 235 255
166 63 0 0
167 87 0 0
168 115 0 0
169 143 0 0
170 171 0 0
171 199 0 0
172 227 7 0
173 255 7 0
174 255 79 67
175 255 123 115
176 255 171 163
177 255 219 215
178 79 39 0
179 111 51 0
180 147 63 0
181 183 71 0
182 219 79 0
183 255 83 0
184 255 111 23
185 255 139 51
186 255 163 79
187 255 183 107
188 255 203 135
189 255 219 163
190 0 51 47
191 0 63 55
192 0 75 67
193 0 87 79
194 7 107 99
195 23 127 119
196 43 147 143
197 71 167 163
198 99 187 187
199 131 207 207
200 171 231 231
201 207 255 255
202 63 0 27
203 91 0 39
204 119 0 59
205 147 7 75
206 179 11 99
207 199 31 119
208 219 59 143
209 239 91 171
210 243 119 187
211 247 151 203
212 251 183 223
213 255 215 239
214 39 19 0
215 55 31 7
216 71 47 15
217 91 63 31
218 107 83 51
219 123 103 75
220 143 127 107
221 163 147 127
222 187 171 147
223 207 195 171
224 231 219 195
225 255 243 223
226 255 0 255
227 255 183 0
228 255 219 0
229 255 255 0
230 7 107 99
231 7 107 99
232 7 107 99
233 27 131 123
234 39 143 135
235 55 155 151
236 55 155 151
237 55 155 151
238 115 203 203
239 155 227 227
240 47 47 47
241 87 71 47
242 47 47 47
243 0 0 99
244 27 43 139
245 39 59 151
246 0 0 0
247 0 0 0
248 0 0 0
249 0 0 0
250 0 0 0
251 0 0 0
252 0 0 0
253 0 0 0
254 0 0 0
255 0 0 0
